$$MCTS$$CALL1     301E                 /02/2003 03:36:04
180486KHLU944566023.704310       LGBCLL---KHL    0......
260786KHLU944532023.704310       LGBCLL---KHL    0......
180284KHLU140046323.804310       LGBCLL---KHL    0......
260986TEXU733596223.904310       LGBCLL---KHL    0......
180204WFHU400562723.904310       LGBCLL---KHL    0......
260784KHLU640234524.104310       LGBCLL---KHL    0......
180282CAXU720853524.204310       LGBCLL---KHL    0......
260984TNNU510873724.204310       LGBCLL---KHL    0......
181082GLDU094809628.204310       LGBCLL---KHL    0......
140206KHLU944216729.804310       SHACLL---KHL    0......
100686TTNU411379111.604310       BSNCLLLMSKHL    0......
220488TGHU437240423.004310D  3   BSNGYE---KHL    0......
100488KHLU140014425.604310       BSNGYE---KHL    0......
220708KHLU5400013 8.604310       SHAGYE---KHL    0......
220804CAXU719126313.504310       SHAGYE---KHL    0......
100810KHLU540992014.504310       BSNIQQ---KHL    0......
100406TGHU422066015.904310       BSNIQQ---KHL    0......
100808TGHU427342216.504310       BSNIQQ---KHL    0......
140588TGHU408627317.704310       BSNIQQ---KHL    0......
180708CAXU719104713.004310       HKGIQQ---KHL    0......
180186KHLU5402510 8.204310       SHAIQQ---KHL    0......
180386KHLU540070722.204310       SHAIQQ---KHL    0......
340384TGHU4214543 4.004310E      LGBOPT---KHL    0......
180810TTNU4304967 4.004310E      LGBOPT---KHL    0......
340682TTNU4418234 4.004310E      LGBOPT---KHL    0......
340082KHLU5402593 4.004310E      LGBOPT---KHL    0......
340182TTNU4304313 4.004310E      LGBOPT---KHL    0......
340308FSCU4226968 4.004310E      LGBOPT---KHL    0......
380782CRXU4362937 4.004310E      LGBOPT---KHL    0......
380582CRXU4425193 4.004310E      LGBOPT---KHL    0......
340810TGHU4202007 4.004310E      LGBOPT---KHL    0......
380384GSTU8550740 4.004310E      LGBOPT---KHL    0......
341082TGHU4346792 4.004310E      LGBOPT---KHL    0......
341084TGHU4372575 4.004310E      LGBOPT---KHL    0......
340482TGHU4372580 4.004310E      LGBOPT---KHL    0......
340882TGHU4378700 4.004310E      LGBOPT---KHL    0......
340310TGHU4382676 4.004310E      LGBOPT---KHL    0......
340584TGHU4412410 4.004310E      LGBOPT---KHL    0......
340610FSCU4204763 4.004310E      LGBOPT---KHL    0......
340984CAXU4359271 4.004310E      LGBOPT---KHL    0......
340484CAXU4232754 4.004310E      LGBOPT---KHL    0......
340210CRXU4433840 4.004310E      LGBOPT---KHL    0......
340108TRIU5484575 4.004310E      LGBOPT---KHL    0......
380784ITLU5592387 4.004310E      LGBOPT---KHL    0......
340110TEXU7475500 4.004310E      LGBOPT---KHL    0......
380182KHLU9443923 4.004310E      LGBOPT---KHL    0......
380382KHLU5413828 4.004310E      LGBOPT---KHL    0......
180808KHLU5411424 4.004310E      LGBOPT---KHL    0......
340410TTNU4342545 4.004310E      LGBOPT---KHL    0......
340284TEXU7331907 4.004310E      LGBOPT---KHL    0......
340282TEXU7332583 4.004310E      LGBOPT---KHL    0......
340884TEXU7334328 4.004310E      LGBOPT---KHL    0......
340710KHLU1403462 4.004310E      LGBOPT---KHL    0......
340582KHLU1400041 4.004310E      LGBOPT---KHL    0......
340382TTNU4215284 4.004310E      LGBOPT---KHL    0......
340084GSTU8178458 4.004310E      LGBOPT---KHL    0......
340184TEXU7348532 4.004310E      LGBOPT---KHL    0......
340208GLDU0916925 4.004310E      LGBOPT---KHL    0......
340982TTNU4342360 4.004310E      LGBOPT---KHL    0......
380082CAXU7170487 4.004310E      LGBOPT---KHL    0......
340782TTNU5024641 4.004310E      LGBOPT---KHL    0......
340684CAXU7190626 4.004310E      LGBOPT---KHL    0......
340784CAXU7208089 4.004310E      LGBOPT---KHL    0......
340510TTNU4317183 4.004310E      LGBOPT---KHL    0......
380584CAXU7208936 4.004310E      LGBOPT---KHL    0......
180804INBU4872926 4.004310E      LGBOPT---KHL    0......
340508CRXU4052844 4.004310E      LGBOPT---KHL    0......
340408GSTU8229025 4.004310E      LGBOPT---KHL    0......
180806TGHU4081950 4.004310E      LGBOPT---KHL    0......
340608TTNU5108505 4.004310E      LGBOPT---KHL    0......
300888TGHU4409838 6.504310       BSNVAP---KHL    0......
300288KHLU1400226 7.404310       BSNVAP---KHL    0......
300886KHLU140101110.004310       BSNVAP---KHL    0......
300186TGHU435791911.804310       BSNVAP---KHL    0......
300086TTNU510078312.604310       BSNVAP---KHL    0......
300510TTNU496631017.804310       BSNVAP---KHL    0......
300108TTNU433934625.404310       BSNVAP---KHL    0......
300608TRIU5483630 9.704310       HKGVAP---KHL    0......
300484TGHU426180110.904310       HKGVAP---KHL    0......
300284FSCU422069813.504310       HKGVAP---KHL    0......
300808CRXU461916213.504310       HKGVAP---KHL    0......
180706KHLU944487415.004310       HKGVAP---KHL    0......
180704CAXU7170635 8.304310       KHHVAP---KHL    0......
140310KHLU6402113 7.604310       SHAVAP---KHL    0......
140708TTNU4414619 7.704310       SHAVAP---KHL    0......
140584CRXU4413295 7.704310       SHAVAP---KHL    0......
140182TTNU4415169 9.604310       SHAVAP---KHL    0......
140184KHLU140345710.504310       SHAVAP---KHL    0......
140984TTNU411742010.504310       SHAVAP---KHL    0......
140382KHLU540958211.904310       SHAVAP---KHL    0......
140710TGHU420755012.604310       SHAVAP---KHL    0......
